Name,Year,Municipality,Revenue,TotalRevenue,MarketShare,SharePct
MAID4YOU AS,2017,ASKER,41013,16641823,0.0025,0.25
EGENCIA NORWAY AS,2017,ASKER,36543,16641823,0.0022,0.22
UNIVERSAL PRESENTKORT AS,2017,ASKER,31770,16641823,0.0019,0.19
N3 NORGE AS,2017,ASKER,29171,16641823,0.0018,0.18
ODIN KAPITAL AS,2017,ASKER,24800,16641823,0.0015,0.15
RENTOKIL INITIAL NORGE AS,2017,ASKER,19088,16641823,0.0011,0.11
MOTION PICTURE LICENSING COMPANY NORGE AS,2017,ASKER,14827,16641823,9e-4,0.09
AVARN SECURITY AS,2017,ASKER,13716,16641823,8e-4,0.08
LOOMIS NORGE AS,2017,ASKER,9542,16641823,6e-4,0.06
VERISURE AS,2017,ASKER,9683,16641823,6e-4,0.06
CONGRESS CONFERENCE AS,2017,ASKER,7950,16641823,5e-4,0.05
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2017,ASKER,8100,16641823,5e-4,0.05
ATLANTIC MICE TIBE AS,2017,ASKER,4900,16641823,3e-4,0.03
MELIN COLLECTORS AS,2017,ASKER,2580,16641823,2e-4,0.02
VIKING REDNINGSTJENESTE AS,2017,ASKER,2079,16641823,1e-4,0.01
AGILA VEST AS,2017,ASKVOLL,187930,248593,0.756,75.6
CONVENE AS,2017,ASKVOLL,50280,248593,0.2023,20.23
EDEN SPRINGS (NORWAY) AS,2017,ASKVOLL,6745,248593,0.0271,2.71
MELIN COLLECTORS AS,2017,ASKVOLL,3638,248593,0.0146,1.46
ECURA CARE AS,2017,ASKØY,1050822,1353347,0.7765,77.65
CONVENE AS,2017,ASKØY,62864,1353347,0.0465,4.65
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,ASKØY,57040,1353347,0.0421,4.21
BERGEN KONGRESS & KULTUR AS,2017,ASKØY,56027,1353347,0.0414,4.14
EUROFLORIST NORGE AS,2017,ASKØY,43100,1353347,0.0318,3.18
MELIN COLLECTORS AS,2017,ASKØY,28050,1353347,0.0207,2.07
AS SKAN-KONTROLL,2017,ASKØY,21770,1353347,0.0161,1.61
ATLANTIC MICE TIBE AS,2017,ASKØY,13350,1353347,0.0099,0.99
HOTEL LINK AS,2017,ASKØY,10886,1353347,0.008,0.8
ALEKTUM AS,2017,ASKØY,4491,1353347,0.0033,0.33
RAC NORWAY AS,2017,ASKØY,2581,1353347,0.0019,0.19
PACURAMED AS,2017,ASKØY,2366,1353347,0.0017,0.17
KONSTALI HELSENOR AS,2017,AUKRA,3162422,4044717,0.7819,78.19
HELSELEVERANDØREN AS,2017,AUKRA,667283,4044717,0.165,16.5
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2017,AUKRA,71796,4044717,0.0178,1.78
RENTOKIL INITIAL NORGE AS,2017,AUKRA,70353,4044717,0.0174,1.74
CONVENE AS,2017,AUKRA,38032,4044717,0.0094,0.94
MELIN COLLECTORS AS,2017,AUKRA,25330,4044717,0.0063,0.63
ATLANTIC MICE TIBE AS,2017,AUKRA,9501,4044717,0.0023,0.23
KONSTALI HELSENOR AS,2017,AURSKOG-HØLAND,8971570,13914471,0.6448,64.48
ASKELADDEN BEMANNING AS,2017,AURSKOG-HØLAND,986488,13914471,0.0709,7.09
RENTOKIL INITIAL NORGE AS,2017,AURSKOG-HØLAND,951853,13914471,0.0684,6.84
HELSELEVERANDØREN AS,2017,AURSKOG-HØLAND,930137,13914471,0.0668,6.68
RANDSTAD CARE AS,2017,AURSKOG-HØLAND,601221,13914471,0.0432,4.32
NORDIC CARE AS,2017,AURSKOG-HØLAND,397762,13914471,0.0286,2.86
ADECCO NORGE AS,2017,AURSKOG-HØLAND,379697,13914471,0.0273,2.73
HAFSLUND TELLIER AS,2017,AURSKOG-HØLAND,344400,13914471,0.0248,2.48
ADECCO HELSE AS,2017,AURSKOG-HØLAND,236774,13914471,0.017,1.7
NORDISK VÅRDINSATS AB,2017,AURSKOG-HØLAND,73764,13914471,0.0053,0.53
N3 NORGE AS,2017,AURSKOG-HØLAND,17663,13914471,0.0013,0.13
DEDICARE AS,2017,AURSKOG-HØLAND,11309,13914471,8e-4,0.08
ATLANTIC MICE TIBE AS,2017,AURSKOG-HØLAND,5892,13914471,4e-4,0.04
AVARN SECURITY AS,2017,AURSKOG-HØLAND,2762,13914471,2e-4,0.02
SERGEL NORGE AS,2017,AURSKOG-HØLAND,3179,13914471,2e-4,0.02
ARRIVA AS,2017,AUSTEVOLL,86947,121453,0.7159,71.59
CONVENE AS,2017,AUSTEVOLL,30146,121453,0.2482,24.82
ATLANTIC MICE TIBE AS,2017,AUSTEVOLL,4360,121453,0.0359,3.59
JOBBSYS.NO AS,2017,AUSTRHEIM,35300,100149,0.3525,35.25
CONVENE AS,2017,AUSTRHEIM,27287,100149,0.2725,27.25
CONGRESS CONFERENCE AS,2017,AUSTRHEIM,21435,100149,0.214,21.4
EGENCIA NORWAY AS,2017,AUSTRHEIM,16127,100149,0.161,16.1
SYDVEST PROSJEKT AS,2017,AVERØY,171844,393720,0.4365,43.65
SEIE AS,2017,AVERØY,170808,393720,0.4338,43.38
HOTEL LINK AS,2017,AVERØY,24183,393720,0.0614,6.14
RENTOKIL INITIAL NORGE AS,2017,AVERØY,15341,393720,0.039,3.9
EGENCIA NORWAY AS,2017,AVERØY,11544,393720,0.0293,2.93
CONVENE AS,2017,BALSFJORD,48760,118347,0.412,41.2
BERG-HANSEN NORD-NORGE AS,2017,BALSFJORD,46964,118347,0.3968,39.68
MELIN COLLECTORS AS,2017,BALSFJORD,15063,118347,0.1273,12.73
ECURA CARE AS,2017,BALSFJORD,7560,118347,0.0639,6.39
MELIN COLLECTORS AS,2017,BAMBLE,269173,604026,0.4456,44.56
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,BAMBLE,199636,604026,0.3305,33.05
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2017,BAMBLE,63093,604026,0.1045,10.45
CONVENE AS,2017,BAMBLE,32652,604026,0.0541,5.41
ATLANTIC MICE TIBE AS,2017,BAMBLE,17073,604026,0.0283,2.83
EDEN SPRINGS (NORWAY) AS,2017,BAMBLE,12085,604026,0.02,2
VIKING REDNINGSTJENESTE AS,2017,BAMBLE,8114,604026,0.0134,1.34
EGENCIA NORWAY AS,2017,BAMBLE,2200,604026,0.0036,0.36
KONSTALI HELSENOR AS,2017,BARDU,686685,928874,0.7393,73.93
BERG-HANSEN NORD-NORGE AS,2017,BARDU,99243,928874,0.1068,10.68
ECURA CARE AS,2017,BARDU,96272,928874,0.1036,10.36
MELIN COLLECTORS AS,2017,BARDU,22662,928874,0.0244,2.44
CONVENE AS,2017,BARDU,13855,928874,0.0149,1.49
BERGEN KONGRESS & KULTUR AS,2017,BARDU,6157,928874,0.0066,0.66
RENTOKIL INITIAL NORGE AS,2017,BARDU,4000,928874,0.0043,0.43
KONSTALI HELSENOR AS,2017,BEIARN,1335446,1543542,0.8652,86.52
ECURA CARE AS,2017,BEIARN,177110,1543542,0.1147,11.47
EGENCIA NORWAY AS,2017,BEIARN,28276,1543542,0.0183,1.83
RENTOKIL INITIAL NORGE AS,2017,BEIARN,2710,1543542,0.0018,0.18
ECURA CARE AS,2017,BERGEN,20956776,57114609,0.3669,36.69
PACURAMED AS,2017,BERGEN,19327291,57114609,0.3384,33.84
ABILITY FM VEST AS,2017,BERGEN,8579906,57114609,0.1502,15.02
SYDVEST PROSJEKT AS,2017,BERGEN,4179477,57114609,0.0732,7.32
SEIE AS,2017,BERGEN,797607,57114609,0.014,1.4
VING NORGE AS,2017,BERGEN,664115,57114609,0.0116,1.16
ADECCO NORGE AS,2017,BERGEN,630214,57114609,0.011,1.1
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,BERGEN,499930,57114609,0.0088,0.88
EUROFLORIST NORGE AS,2017,BERGEN,375528,57114609,0.0066,0.66
RAC NORWAY AS,2017,BERGEN,184533,57114609,0.0032,0.32
AVARN SECURITY AS,2017,BERGEN,136126,57114609,0.0024,0.24
UNIVERSAL PRESENTKORT AS,2017,BERGEN,129186,57114609,0.0023,0.23
BERGEN KONGRESS & KULTUR AS,2017,BERGEN,125442,57114609,0.0022,0.22
EGENCIA NORWAY AS,2017,BERGEN,102855,57114609,0.0018,0.18
ATLANTIC MICE TIBE AS,2017,BERGEN,73670,57114609,0.0013,0.13
ARRIVA AS,2017,BERGEN,61952,57114609,0.0011,0.11
VIKING REDNINGSTJENESTE AS,2017,BERGEN,57298,57114609,0.001,0.1
EDEN SPRINGS (NORWAY) AS,2017,BERGEN,37918,57114609,7e-4,0.07
RENTOKIL INITIAL NORGE AS,2017,BERGEN,36049,57114609,6e-4,0.06
LOOMIS NORGE AS,2017,BERGEN,31008,57114609,5e-4,0.05
VERISURE AS,2017,BERGEN,26273,57114609,5e-4,0.05
CONFEX NORGE AS,2017,BERGEN,14994,57114609,3e-4,0.03
FIRST RENT A CAR NORWAY AS,2017,BERGEN,19865,57114609,3e-4,0.03
KOOPERATIV BEMANNING AS,2017,BERGEN,15400,57114609,3e-4,0.03
MANPOWER AS,2017,BERGEN,15746,57114609,3e-4,0.03
CRAMO AS,2017,BERGEN,13482,57114609,2e-4,0.02
HOTEL LINK AS,2017,BERGEN,10647,57114609,2e-4,0.02
CONGRESS CONFERENCE AS,2017,BERGEN,3975,57114609,1e-4,0.01
FJELL OG FJORD KONFERANSER AS,2017,BERGEN,3346,57114609,1e-4,0.01
MOTION PICTURE LICENSING COMPANY NORGE AS,2017,BERGEN,4000,57114609,1e-4,0.01
ECURA CARE AS,2017,BERLEVÅG,2575,2575,1,100
DEDICARE DOCTOR AS,2017,BINDAL,1017500,1039054,0.9793,97.93
RENTOKIL INITIAL NORGE AS,2017,BINDAL,15863,1039054,0.0153,1.53
MOTION PICTURE LICENSING COMPANY NORGE AS,2017,BINDAL,5691,1039054,0.0055,0.55
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,BIRKENES,179841,321138,0.56,56
HELSELEVERANDØREN AS,2017,BIRKENES,120377,321138,0.3748,37.48
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2017,BIRKENES,16200,321138,0.0504,5.04
ECURA CARE AS,2017,BIRKENES,4720,321138,0.0147,1.47
BERGEN KONGRESS & KULTUR AS,2017,BJERKREIM,11695,16295,0.7177,71.77
EGENCIA NORWAY AS,2017,BJERKREIM,4600,16295,0.2823,28.23
ALLIANCEPLUS AS,2017,BJØRNAFJORDEN,241707,642880,0.376,37.6
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,BJØRNAFJORDEN,216110,642880,0.3362,33.62
BERGEN KONGRESS & KULTUR AS,2017,BJØRNAFJORDEN,60044,642880,0.0934,9.34
ODIN KAPITAL AS,2017,BJØRNAFJORDEN,29812,642880,0.0464,4.64
CONVENE AS,2017,BJØRNAFJORDEN,28903,642880,0.045,4.5
ATLANTIC MICE TIBE AS,2017,BJØRNAFJORDEN,27178,642880,0.0423,4.23
HOTEL LINK AS,2017,BJØRNAFJORDEN,20293,642880,0.0316,3.16
CONGRESS CONFERENCE AS,2017,BJØRNAFJORDEN,9100,642880,0.0142,1.42
EGENCIA NORWAY AS,2017,BJØRNAFJORDEN,6900,642880,0.0107,1.07
FIRST RENT A CAR NORWAY AS,2017,BJØRNAFJORDEN,2833,642880,0.0044,0.44
KONSTALI HELSENOR AS,2017,BODØ,10184619,14299457,0.7122,71.22
FOCUS CARE AS,2017,BODØ,2061652,14299457,0.1442,14.42
POLYGON AS,2017,BODØ,460478,14299457,0.0322,3.22
BUSCH-SØRENSEN RENGJØRINGSBYRÅ AS,2017,BODØ,228614,14299457,0.016,1.6
HELSE PERSONAL AS,2017,BODØ,203054,14299457,0.0142,1.42
CONVENE AS,2017,BODØ,194902,14299457,0.0136,1.36
AVARN SECURITY AS,2017,BODØ,126939,14299457,0.0089,0.89
RENTOKIL INITIAL NORGE AS,2017,BODØ,117209,14299457,0.0082,0.82
INTERRENT AS,2017,BODØ,116392,14299457,0.0081,0.81
EGENCIA NORWAY AS,2017,BODØ,104145,14299457,0.0073,0.73
EASY PARK AS,2017,BODØ,102305,14299457,0.0072,0.72
HOTEL LINK AS,2017,BODØ,91205,14299457,0.0064,0.64
BERGEN KONGRESS & KULTUR AS,2017,BODØ,76856,14299457,0.0054,0.54
ATLANTIC MICE TIBE AS,2017,BODØ,65249,14299457,0.0046,0.46
LEGEPARTNER AS,2017,BODØ,48707,14299457,0.0034,0.34
ODIN KAPITAL AS,2017,BODØ,27239,14299457,0.0019,0.19
LOOMIS NORGE AS,2017,BODØ,15952,14299457,0.0011,0.11
VIKING REDNINGSTJENESTE AS,2017,BODØ,16371,14299457,0.0011,0.11
MELIN COLLECTORS AS,2017,BODØ,14053,14299457,0.001,0.1
FIRST RENT A CAR NORWAY AS,2017,BODØ,9779,14299457,7e-4,0.07
VERISURE AS,2017,BODØ,8524,14299457,6e-4,0.06
CONGRESS CONFERENCE AS,2017,BODØ,6725,14299457,5e-4,0.05
FJELL OG FJORD KONFERANSER AS,2017,BODØ,5672,14299457,4e-4,0.04
RAMIRENT AS,2017,BODØ,5548,14299457,4e-4,0.04
ECURA CARE AS,2017,BODØ,4720,14299457,3e-4,0.03
RAC NORWAY AS,2017,BODØ,2548,14299457,2e-4,0.02
HELSE PERSONAL AS,2017,BREMANGER,2667904,8652588,0.3083,30.83
ECURA CARE AS,2017,BREMANGER,2570699,8652588,0.2971,29.71
FOCUS CARE AS,2017,BREMANGER,2009063,8652588,0.2322,23.22
CENTRIC CARE AS,2017,BREMANGER,446143,8652588,0.0516,5.16
DEDICARE AS,2017,BREMANGER,405019,8652588,0.0468,4.68
SEIE AS,2017,BREMANGER,334059,8652588,0.0386,3.86
KONSTALI HELSENOR AS,2017,BREMANGER,210893,8652588,0.0244,2.44
ATLANTIC MICE TIBE AS,2017,BREMANGER,5450,8652588,6e-4,0.06
MELIN COLLECTORS AS,2017,BREMANGER,3358,8652588,4e-4,0.04
KLETOR AS,2017,BRØNNØY,1711500,3835022,0.4463,44.63
KOOPERATIV BEMANNING AS,2017,BRØNNØY,1238461,3835022,0.3229,32.29
BERG-HANSEN NORD-NORGE AS,2017,BRØNNØY,530006,3835022,0.1382,13.82
KONSTALI HELSENOR AS,2017,BRØNNØY,264836,3835022,0.0691,6.91
CONVENE AS,2017,BRØNNØY,38343,3835022,0.01,1
RENTOKIL INITIAL NORGE AS,2017,BRØNNØY,14766,3835022,0.0039,0.39
HOTEL LINK AS,2017,BRØNNØY,12580,3835022,0.0033,0.33
FIRST RENT A CAR NORWAY AS,2017,BRØNNØY,9291,3835022,0.0024,0.24
BERGEN KONGRESS & KULTUR AS,2017,BRØNNØY,7895,3835022,0.0021,0.21
EGENCIA NORWAY AS,2017,BRØNNØY,7344,3835022,0.0019,0.19
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2017,BÅTSFJORD,382782,842991,0.4541,45.41
CENTRIC CARE AS,2017,BÅTSFJORD,215496,842991,0.2556,25.56
ACCURATE CARE AS,2017,BÅTSFJORD,185821,842991,0.2204,22.04
FOCUS CARE AS,2017,BÅTSFJORD,39775,842991,0.0472,4.72
ODIN KAPITAL AS,2017,BÅTSFJORD,11268,842991,0.0134,1.34
CONGRESS CONFERENCE AS,2017,BÅTSFJORD,5849,842991,0.0069,0.69
VIKAR HOUSE AS,2017,BÅTSFJORD,2000,842991,0.0024,0.24
KLETOR AS,2017,BØMLO,1583581,2125716,0.745,74.5
ECURA CARE AS,2017,BØMLO,156839,2125716,0.0738,7.38
NORDIC CARE AS,2017,BØMLO,110779,2125716,0.0521,5.21
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,BØMLO,92519,2125716,0.0435,4.35
THORSEN GRUPPEN AS,2017,BØMLO,89925,2125716,0.0423,4.23
KONSTALI HELSENOR AS,2017,BØMLO,35257,2125716,0.0166,1.66
ODIN KAPITAL AS,2017,BØMLO,21111,2125716,0.0099,0.99
BERGEN KONGRESS & KULTUR AS,2017,BØMLO,18440,2125716,0.0087,0.87
HOTEL LINK AS,2017,BØMLO,11954,2125716,0.0056,0.56
EDEN SPRINGS (NORWAY) AS,2017,BØMLO,5311,2125716,0.0025,0.25
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,DOVRE,135228,177763,0.7607,76.07
CONVENE AS,2017,DOVRE,35903,177763,0.202,20.2
HOTEL LINK AS,2017,DOVRE,6632,177763,0.0373,3.73
SØNDRE VEGO GÅRD AS,2017,DRAMMEN,1207500,3890742,0.3104,31.04
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,DRAMMEN,964482,3890742,0.2479,24.79
EASY PARK AS,2017,DRAMMEN,398842,3890742,0.1025,10.25
SYDVEST PROSJEKT AS,2017,DRAMMEN,289245,3890742,0.0743,7.43
AVARN SECURITY AS,2017,DRAMMEN,202822,3890742,0.0521,5.21
CONTAR AS,2017,DRAMMEN,146035,3890742,0.0375,3.75
RAC NORWAY AS,2017,DRAMMEN,131277,3890742,0.0337,3.37
LOOMIS NORGE AS,2017,DRAMMEN,106663,3890742,0.0274,2.74
MANPOWER AS,2017,DRAMMEN,95170,3890742,0.0245,2.45
FIRST RENT A CAR NORWAY AS,2017,DRAMMEN,67081,3890742,0.0172,1.72
VERISURE AS,2017,DRAMMEN,30053,3890742,0.0077,0.77
HOTEL LINK AS,2017,DRAMMEN,28645,3890742,0.0074,0.74
RENTOKIL INITIAL NORGE AS,2017,DRAMMEN,24609,3890742,0.0063,0.63
CONGRESS CONFERENCE AS,2017,DRAMMEN,23850,3890742,0.0061,0.61
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2017,DRAMMEN,23750,3890742,0.0061,0.61
VIKING REDNINGSTJENESTE AS,2017,DRAMMEN,23523,3890742,0.006,0.6
ECURA CARE AS,2017,DRAMMEN,21250,3890742,0.0055,0.55
MOTION PICTURE LICENSING COMPANY NORGE AS,2017,DRAMMEN,20074,3890742,0.0052,0.52
ATLANTIC MICE TIBE AS,2017,DRAMMEN,19014,3890742,0.0049,0.49
EGENCIA NORWAY AS,2017,DRAMMEN,17599,3890742,0.0045,0.45
POLYGON AS,2017,DRAMMEN,15082,3890742,0.0039,0.39
HAFSLUND TELLIER AS,2017,DRAMMEN,9501,3890742,0.0024,0.24
ODIN KAPITAL AS,2017,DRAMMEN,9213,3890742,0.0024,0.24
FJELL OG FJORD KONFERANSER AS,2017,DRAMMEN,8171,3890742,0.0021,0.21
PERSONALHUSET STAFFING GROUP AS,2017,DRAMMEN,7291,3890742,0.0019,0.19
EDEN SPRINGS (NORWAY) AS,2017,DRANGEDAL,6840,6840,1,100
MELIN COLLECTORS AS,2017,DYRØY,9269,20098,0.4612,46.12
HOTEL LINK AS,2017,DYRØY,6629,20098,0.3298,32.98
ECURA CARE AS,2017,DYRØY,4200,20098,0.209,20.9
ECURA CARE AS,2017,DØNNA,193701,290473,0.6668,66.68
EGENCIA NORWAY AS,2017,DØNNA,48106,290473,0.1656,16.56
RENTOKIL INITIAL NORGE AS,2017,DØNNA,35936,290473,0.1237,12.37
CONVENE AS,2017,DØNNA,12730,290473,0.0438,4.38
ECURA CARE AS,2017,EIDFJORD,342082,509391,0.6716,67.16
KOOPERATIV BEMANNING AS,2017,EIDFJORD,165257,509391,0.3244,32.44
ODIN KAPITAL AS,2017,EIDFJORD,2052,509391,0.004,0.4
ECURA CARE AS,2017,EIDSVOLL,16584613,30777294,0.5389,53.89
KONSTALI HELSENOR AS,2017,EIDSVOLL,9999051,30777294,0.3249,32.49
ADECCO HELSE AS,2017,EIDSVOLL,3653883,30777294,0.1187,11.87
HELSELEVERANDØREN AS,2017,EIDSVOLL,345253,30777294,0.0112,1.12
NORDIC CARE AS,2017,EIDSVOLL,60307,30777294,0.002,0.2
UNIVERSAL PRESENTKORT AS,2017,EIDSVOLL,49243,30777294,0.0016,0.16
CONVENE AS,2017,EIDSVOLL,31846,30777294,0.001,0.1
CONFEX NORGE AS,2017,EIDSVOLL,13990,30777294,5e-4,0.05
MELIN COLLECTORS AS,2017,EIDSVOLL,9475,30777294,3e-4,0.03
N3 NORGE AS,2017,EIDSVOLL,9864,30777294,3e-4,0.03
EGENCIA NORWAY AS,2017,EIDSVOLL,5750,30777294,2e-4,0.02
FIRST RENT A CAR NORWAY AS,2017,EIDSVOLL,6186,30777294,2e-4,0.02
STIFTELSEN RO RESSURSSENTER FOR OMSTILLING I KOMMUNENE MED UTVIKLING AV OMSORGSTJENESTEN SOM SPESIA,2017,EIDSVOLL,4750,30777294,2e-4,0.02
HOTEL LINK AS,2017,EIDSVOLL,3083,30777294,1e-4,0.01
VING NORGE AS,2017,EIGERSUND,766600,900160,0.8516,85.16
CONVENE AS,2017,EIGERSUND,65910,900160,0.0732,7.32
MELIN COLLECTORS AS,2017,EIGERSUND,25152,900160,0.0279,2.79
ATLANTIC MICE TIBE AS,2017,EIGERSUND,21195,900160,0.0235,2.35
EGENCIA NORWAY AS,2017,EIGERSUND,6700,900160,0.0074,0.74
EDEN SPRINGS (NORWAY) AS,2017,EIGERSUND,4699,900160,0.0052,0.52
ALEKTUM AS,2017,EIGERSUND,4515,900160,0.005,0.5
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,EIGERSUND,3141,900160,0.0035,0.35
VIKING REDNINGSTJENESTE AS,2017,EIGERSUND,2248,900160,0.0025,0.25
ACCURATE CARE AS,2017,ELVERUM,5585193,6602648,0.8459,84.59
HELSE PERSONAL AS,2017,ELVERUM,413260,6602648,0.0626,6.26
KONSTALI HELSENOR AS,2017,ELVERUM,329947,6602648,0.05,5
DEDICARE AS,2017,ELVERUM,160301,6602648,0.0243,2.43
N3 NORGE AS,2017,ELVERUM,53699,6602648,0.0081,0.81
EDEN SPRINGS (NORWAY) AS,2017,ELVERUM,22305,6602648,0.0034,0.34
ODIN KAPITAL AS,2017,ELVERUM,13948,6602648,0.0021,0.21
ATLANTIC MICE TIBE AS,2017,ELVERUM,7398,6602648,0.0011,0.11
NORGESGRUPPEN BETALINGSTJENESTER AS,2017,ELVERUM,6234,6602648,9e-4,0.09
BERGEN KONGRESS & KULTUR AS,2017,ELVERUM,3918,6602648,6e-4,0.06
FIRST RENT A CAR NORWAY AS,2017,ELVERUM,4145,6602648,6e-4,0.06
