Municipality,2017,2018,2019,2020,2021,2022,2023
2030 Sør-Varanger (-2019),-1.4,2.5,1.8,.,.,.,.
2111 Longyearbyen,4.7,11.2,4.7,8.7,4.6,5.7,-18.2
EAK Landet,3.8,2.6,1.9,2.7,4.3,3.0,0.8
EAKUO Landet uten Oslo,3.7,2.2,1.5,2.5,4.2,2.6,1.0
,,,,,,,
"Tabellen inneholder ni utvalgte og beskrivende nøkkeltall for å gi en overordnet oversikt over kommuneøkonomien.<br><br>

Tabellen omfatter data for kommunekonsern. Data er hentet fra innrapporterte bevilgnings- og balanseregnskap fra kommuner og kommunale foretak (KF), interkommunale selskaper (IKS) og interkommunale samarbeider. Dataene fra IKS er fordelt på eierkommuner etter eierandeler hentet fra Foretaksregistret i Brønnøysund.<br><br>",,,,,,,
"Det er brudd i tidsserien for KOSTRA-gruppene mellom 2019 og 2020 når det gjelder inndelingen etter folkemengde, bundne kostnader og frie disponible inntekter. Se 
<a href = 'https://www.ssb.no/klass/klassifikasjoner/112/versjoner'>
kodelister for KOSTRA-gruppene i 2019 og 2020.</a>",,,,,,,
"For forklaringer av særskilte forhold i dataene, justeringer i publiserte tall, brudd i tidsserier og kommunesammenslåinger, se <a href='https://www.ssb.no/kostra/rettinger-i-tidligere-ars-publiserte-data'>Strukturelle forklaringer og rettelogg</a>.",,,,,,,
"<a href='https://www.ssb.no/offentlig-sektor/kommunekatalog/endringer-i-de-regionale-inndelingene' target='footnote'><b>Se liste over endringer i de regionale inndelingene.</b></a> <br><br>
<a href='https://www.ssb.no/statbank/hvordan-bruke-statistikkbanken/statistikkbanktabeller-med-sammenslatte-tidsserier' target='footnote'>Tabeller som bruker ny regioninndeling også for årene før 2024.</a>",,,,,,,
. = Ikke mulig å oppgi tall. Tall finnes ikke på dette tidspunktet fordi kategorien ikke var i bruk da tallene ble samlet inn.,,,,,,,
region:,,,,,,,
Stavanger:,,,,,,,
1.1.2020 ble kommunene 1141 Finnøy og 1142 Rennesøy innlemmet i 1103 Stavanger.,,,,,,,
,,,,,,,
region:,,,,,,,
Trondheim - Tråante:,,,,,,,
1.1.2020 ble kommunen 5030 Klæbu innlemmet i 5001 Trondheim.,,,,,,,
,,,,,,,
,,,,,,,
Sist endret:,,,,,,,
Netto driftresultat i prosent av brutto driftsinntekter (prosent):,,,,,,,
20250616 08:00,,,,,,,
,,,,,,,
Kilde:,,,,,,,
Statistisk sentralbyrå,,,,,,,
,,,,,,,
Kontakt:,,,,,,,
Netto driftresultat i prosent av brutto driftsinntekter (prosent):,,,,,,,
"Corretta Aluoch Arodi, Statistisk sentralbyrå",,,,,,,
 +47 40 90 26 56,,,,,,,
cos@ssb.no,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Måleenhet:,,,,,,,
Netto driftresultat i prosent av brutto driftsinntekter (prosent):,,,,,,,
prosent,,,,,,,
Målemetode:,,,,,,,
Netto driftresultat i prosent av brutto driftsinntekter (prosent):,,,,,,,
Forløp (periodesum),,,,,,,
,,,,,,,
Referansetid:,,,,,,,
Netto driftresultat i prosent av brutto driftsinntekter (prosent),,,,,,,
31.12,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Offisiell statistikk,,,,,,,
,,,,,,,
Database:,,,,,,,
Ekstern PRODUKSJON,,,,,,,
,,,,,,,
Intern referansekode:,,,,,,,
KOSAGD230000,,,,,,,
